"","Library_Name","Month_CO_Mean"
"1","Derawan_01",90.321
"2","Derawan_02",90.321
"3","Derawan_03",90.321
"4","Derawan_04",90.321
"5","Derawan_05",90.321
"6","Derawan_06",90.321
"7","Derawan_07",90.321
"8","Derawan_08",90.321
"9","Derawan_09",90.321
"10","Derawan_10",90.321
"11","Derawan_11",90.321
"12","Derawan_12",90.321
"13","Halmahera_01",90.321
"14","Halmahera_02",90.321
"15","Halmahera_03",90.321
"16","Halmahera_04",90.321
"17","Halmahera_05",90.321
"18","Halmahera_06",90.321
"19","Halmahera_07",90.321
"20","Halmahera_08",90.321
"21","Halmahera_09",90.321
"22","Halmahera_10",90.321
"23","Halmahera_11",90.321
"24","Halmahera_12",90.321
"25","Pari_01",90.321
"26","Pari_02",90.321
"27","Pari_03",90.321
"28","Pari_04",90.321
"29","Pari_05",90.321
"30","Pari_06",90.321
"31","Pari_07",90.321
"32","Pari_08",90.321
"33","Pari_09",90.321
"34","Pari_10",90.321
"35","Pari_11",90.321
"36","Pari_12",90.321
"37","Banggai_01",100.06375
"38","Banggai_02",100.06375
"39","Banggai_03",100.06375
"40","Banggai_04",100.06375
"41","Banggai_05",100.06375
"42","Banggai_06",100.06375
"43","Banggai_07",100.06375
"44","Banggai_08",100.06375
"45","Banggai_09",100.06375
"46","Banggai_10",100.06375
"47","Banggai_11",100.06375
"48","Banggai_12",100.06375
"49","Bangka_01",100.06375
"50","Bangka_02",100.06375
"51","Bangka_03",100.06375
"52","Bangka_04",100.06375
"53","Bangka_05",100.06375
"54","Bangka_06",100.06375
"55","Bangka_07",100.06375
"56","Bangka_08",100.06375
"57","Bangka_09",100.06375
"58","Bangka_10",100.06375
"59","Bangka_11",100.06375
"60","Bangka_12",100.06375
"61","Belitung_01",100.06375
"62","Belitung_02",100.06375
"63","Belitung_03",100.06375
"64","Belitung_04",100.06375
"65","Belitung_05",100.06375
"66","Belitung_06",100.06375
"67","Belitung_07",100.06375
"68","Belitung_08",100.06375
"69","Belitung_09",100.06375
"70","Belitung_10",100.06375
"71","Belitung_11",100.06375
"72","Belitung_12",100.06375
"73","Bira_01",100.06375
"74","Bira_02",100.06375
"75","Bira_03",100.06375
"76","Bira_04",100.06375
"77","Bira_05",100.06375
"78","Bira_06",100.06375
"79","Bira_07",100.06375
"80","Bira_08",100.06375
"81","Bira_09",100.06375
"82","Bira_10",100.06375
"83","Bira_11",100.06375
"84","Bira_12",100.06375
"85","Sanur_01",106.977
"86","Sanur_02",106.977
"87","Sanur_03",106.977
"88","Sanur_04",106.977
"89","Sanur_05",106.977
"90","Sanur_06",106.977
"91","Sanur_07",106.977
"92","Sanur_08",106.977
"93","Sanur_09",106.977
"94","Sanur_10",106.977
"95","Sanur_11",106.977
"96","Sanur_12",106.977
"97","Alor_01",NA
"98","Alor_02",NA
"99","Alor_03",NA
"100","Alor_04",NA
"101","Alor_05",NA
"102","Alor_06",NA
"103","Alor_07",NA
"104","Alor_08",NA
"105","Alor_09",NA
"106","Alor_10",NA
"107","Alor_11",NA
"108","Alor_12",NA
"109","Karimunjawa_01",NA
"110","Karimunjawa_02",NA
"111","Karimunjawa_03",NA
"112","Karimunjawa_04",NA
"113","Karimunjawa_05",NA
"114","Karimunjawa_06",NA
"115","Karimunjawa_07",NA
"116","Karimunjawa_08",NA
"117","Karimunjawa_09",NA
"118","Karimunjawa_10",NA
"119","Karimunjawa_11",NA
"120","Karimunjawa_12",NA
"121","Komodo_01",NA
"122","Komodo_02",NA
"123","Komodo_03",NA
"124","Komodo_04",NA
"125","Komodo_05",NA
"126","Komodo_06",NA
"127","Komodo_07",NA
"128","Komodo_08",NA
"129","Komodo_09",NA
"130","Komodo_10",NA
"131","Komodo_11",NA
"132","Komodo_12",NA
"133","Natuna_01",NA
"134","Natuna_02",NA
"135","Natuna_03",NA
"136","Natuna_04",NA
"137","Natuna_05",NA
"138","Natuna_06",NA
"139","Natuna_07",NA
"140","Natuna_08",NA
"141","Natuna_09",NA
"142","Natuna_10",NA
"143","Natuna_11",NA
"144","Natuna_12",NA
"145","Tual_01",NA
"146","Tual_02",NA
"147","Tual_03",NA
"148","Tual_04",NA
"149","Tual_05",NA
"150","Tual_06",NA
"151","Tual_07",NA
"152","Tual_08",NA
"153","Tual_09",NA
"154","Tual_10",NA
"155","Tual_11",NA
"156","Tual_12",NA
"157","Wakatobi_01",NA
"158","Wakatobi_02",NA
"159","Wakatobi_03",NA
"160","Wakatobi_04",NA
"161","Wakatobi_05",NA
"162","Wakatobi_06",NA
"163","Wakatobi_07",NA
"164","Wakatobi_08",NA
"165","Wakatobi_09",NA
"166","Wakatobi_10",NA
"167","Wakatobi_11",NA
"168","Wakatobi_12",NA
