"sample","uv_month_avg"
"Alor_01",1.930333
"Alor_02",1.930333
"Alor_03",1.930333
"Alor_04",1.930333
"Alor_05",1.930333
"Alor_06",1.930333
"Alor_07",1.930333
"Alor_08",1.930333
"Alor_09",1.930333
"Alor_10",1.930333
"Alor_11",1.930333
"Alor_12",1.930333
"Alor_13",1.930333
"Alor_14",1.930333
"Alor_15",1.930333
"Alor_16",1.930333
"Bali_01",NA
"Bali_02",NA
"Bali_03",NA
"Bali_04",NA
"Bali_05",NA
"Bali_06",NA
"Bali_07",NA
"Bali_08",NA
"Bali_09",NA
"Bali_10",NA
"Bali_11",NA
"Bali_12",NA
"Bali_13",NA
"Bali_14",NA
"Bali_15",NA
"Bali_16",NA
"Banggai_01",2.082581
"Banggai_02",2.082581
"Banggai_03",2.082581
"Banggai_04",2.082581
"Banggai_05",2.082581
"Banggai_06",2.082581
"Banggai_07",2.082581
"Banggai_08",2.082581
"Banggai_09",2.082581
"Banggai_10",2.082581
"Banggai_11",2.082581
"Banggai_12",2.082581
"Banggai_13",2.082581
"Banggai_14",2.082581
"Banggai_15",2.082581
"Banggai_16",2.082581
"Bangka_01",2.307586
"Bangka_02",2.307586
"Bangka_03",2.307586
"Bangka_04",2.307586
"Bangka_05",2.307586
"Bangka_06",2.307586
"Bangka_07",2.307586
"Bangka_08",2.307586
"Bangka_09",2.307586
"Bangka_10",2.307586
"Bangka_11",2.307586
"Bangka_12",2.307586
"Bangka_13",2.307586
"Bangka_14",2.307586
"Bangka_15",2.307586
"Bangka_16",2.307586
"Belitung_01",1.883548
"Belitung_02",1.883548
"Belitung_03",1.883548
"Belitung_04",1.883548
"Belitung_05",1.883548
"Belitung_06",1.883548
"Belitung_07",1.883548
"Belitung_08",1.883548
"Belitung_09",1.883548
"Belitung_10",1.883548
"Belitung_11",1.883548
"Belitung_12",1.883548
"Belitung_13",1.883548
"Belitung_14",1.883548
"Belitung_15",1.883548
"Belitung_16",1.883548
"Derawan_01",2.322333
"Derawan_02",2.322333
"Derawan_03",2.322333
"Derawan_04",2.322333
"Derawan_05",2.322333
"Derawan_06",2.322333
"Derawan_07",2.322333
"Derawan_08",2.322333
"Derawan_09",2.322333
"Derawan_10",2.322333
"Derawan_11",2.322333
"Derawan_12",2.322333
"Derawan_13",2.322333
"Derawan_14",2.322333
"Derawan_15",2.322333
"Derawan_16",2.322333
"Halmahera_01",2.215667
"Halmahera_02",2.215667
"Halmahera_03",2.215667
"Halmahera_04",2.215667
"Halmahera_05",2.215667
"Halmahera_06",2.215667
"Halmahera_07",2.215667
"Halmahera_08",2.215667
"Halmahera_09",2.215667
"Halmahera_10",2.215667
"Halmahera_11",2.215667
"Halmahera_12",2.215667
"Halmahera_13",2.215667
"Halmahera_14",2.215667
"Halmahera_15",2.215667
"Halmahera_16",2.215667
"Karimunjawa_01",2.333548
"Karimunjawa_02",2.333548
"Karimunjawa_03",2.333548
"Karimunjawa_04",2.333548
"Karimunjawa_05",2.333548
"Karimunjawa_06",2.333548
"Karimunjawa_07",2.333548
"Karimunjawa_08",2.333548
"Karimunjawa_09",2.333548
"Karimunjawa_10",2.333548
"Karimunjawa_11",2.333548
"Karimunjawa_12",2.333548
"Karimunjawa_13",2.333548
"Karimunjawa_14",2.333548
"Karimunjawa_15",2.333548
"Karimunjawa_16",2.333548
"Komodo_01",2.336774
"Komodo_02",2.336774
"Komodo_03",2.336774
"Komodo_04",2.336774
"Komodo_05",2.336774
"Komodo_06",2.336774
"Komodo_07",2.336774
"Komodo_08",2.336774
"Komodo_09",2.336774
"Komodo_10",2.336774
"Komodo_11",2.336774
"Komodo_12",2.336774
"Komodo_13",2.336774
"Komodo_14",2.336774
"Komodo_15",2.336774
"Komodo_16",2.336774
"Pari_01",1.727667
"Pari_02",1.727667
"Pari_03",1.727667
"Pari_04",1.727667
"Pari_05",1.727667
"Pari_06",1.727667
"Pari_07",1.727667
"Pari_08",1.727667
"Pari_09",1.727667
"Pari_10",1.727667
"Pari_11",1.727667
"Pari_12",1.727667
"Pari_13",1.727667
"Pari_14",1.727667
"Pari_15",1.727667
"Pari_16",1.727667
"Tual_01",1.863
"Tual_02",1.863
"Tual_03",1.863
"Tual_04",1.863
"Tual_05",1.863
"Tual_06",1.863
"Tual_07",1.863
"Tual_08",1.863
"Tual_09",1.863
"Tual_10",1.863
"Tual_11",1.863
"Tual_12",1.863
"Tual_13",1.863
"Tual_14",1.863
"Tual_15",1.863
"Tual_16",1.863
"Wakatobi_01",2.364516
"Wakatobi_02",2.364516
"Wakatobi_03",2.364516
"Wakatobi_04",2.364516
"Wakatobi_05",2.364516
"Wakatobi_06",2.364516
"Wakatobi_07",2.364516
"Wakatobi_08",2.364516
"Wakatobi_09",2.364516
"Wakatobi_10",2.364516
"Wakatobi_11",2.364516
"Wakatobi_12",2.364516
"Wakatobi_13",2.364516
"Wakatobi_14",2.364516
"Wakatobi_15",2.364516
"Wakatobi_16",2.364516
