genus,length,width,shape,min_length,min_width,signifigant_taxa,min_dimension,est_vol,est_surface_area
Azonexus,1.65 µm,0.4 µm,rod,1.65,0.4,TRUE,0.4,0.66,4.276492999699105
Bradyrhizobium,2-4 µm,0.6 µm,rod,2,0.6,TRUE,0.6,1.2,6.283185307179586
Bradyrhizobium,2-3 µm,0.7 µm,rod,2,0.7,TRUE,0.7,1.4,6.283185307179586
Bradyrhizobium,1.35 µm,1.35 µm,rod,1.35,1.35,TRUE,1.35,1.8225000000000002,2.8627763055836994
Bradyrhizobium,1.35 µm,0.46 µm,rod,1.35,0.46,TRUE,0.46,0.6210000000000001,2.8627763055836994
Bradyrhizobium,2-3 µm,0.7 µm,rod,2,0.7,TRUE,0.7,1.4,6.283185307179586
Bradyrhizobium,1.5-4.5 µm,0.5 µm,rod,1.5,0.5,TRUE,0.5,0.75,3.5342917352885173
Bradyrhizobium,4.5 µm,0.8 µm,rod,4.5,0.8,TRUE,0.8,3.6,31.808625617596654
Elizabethkingia,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
Marixanthomonas,2.5 µm,0.45 µm,rod,2.5,0.45,TRUE,0.45,1.125,9.817477042468104
Mucilaginibacter,1.7-2.1 µm,0.4-0.6 µm,rod,1.7,0.4,TRUE,0.4,0.68,4.53960138443725
Mucilaginibacter,0.7-1.5 µm,0.3-0.6 µm,rod,0.7,0.3,TRUE,0.3,0.21,0.7696902001294992
Mucilaginibacter,0.7-1.4 µm,0.2-0.5 µm,rod,0.7,0.2,TRUE,0.2,0.13999999999999999,0.7696902001294992
Mucilaginibacter,0.6-0.7 µm,0.4-0.5 µm,rod,0.6,0.4,TRUE,0.4,0.24,0.5654866776461628
Mucilaginibacter,1-1.5 µm,0.2-0.5 µm,rod,1,0.2,TRUE,0.2,0.2,1.5707963267948966
Mucilaginibacter,2.7-3.2 µm,0.5-0.8 µm,rod,2.7,0.5,TRUE,0.5,1.35,11.451105222334798
Mucilaginibacter,1.8-3.2 µm,0.6-0.9 µm,pleomorphic,1.8,0.6,TRUE,0.6,1.08,5.089380098815465
Mucilaginibacter,1.5-2.8 µm,0.4-0.8 µm,rod,1.5,0.4,TRUE,0.4,0.6000000000000001,3.5342917352885173
Mucilaginibacter,1.9-2.9 µm,0.82-0.84 µm,rod,1.9,0.82,TRUE,0.82,1.5579999999999998,5.6705747397295765
Mucilaginibacter,0.8-3.5 µm,0.3-0.7 µm,rod,0.8,0.3,TRUE,0.3,0.24,1.0053096491487339
Mucilaginibacter,1.6 µm,0.46 µm,rod,1.6,0.46,TRUE,0.46,0.7360000000000001,4.0212385965949355
Mucilaginibacter,2.5 µm,0.5 µm,rod,2.5,0.5,TRUE,0.5,1.25,9.817477042468104
Mucilaginibacter,1.305 µm,0.385 µm,rod,1.305,0.385,TRUE,0.385,0.502425,2.6751054144398783
Mucilaginibacter,1.75 µm,0.5 µm,rod,1.75,0.5,TRUE,0.5,0.875,4.81056375080937
Mucilaginibacter,1.5 µm,0.6 µm,rod,1.5,0.6,TRUE,0.6,0.8999999999999999,3.5342917352885173
Mucilaginibacter,1.1-1.5 µm,0.6-0.8 µm,rod,1.1,0.6,TRUE,0.6,0.66,1.9006635554218252
Mucilaginibacter,01-04 µm,0.3-0.5 µm,rod,1,0.3,TRUE,0.3,0.3,1.5707963267948966
Mucilaginibacter,01-02 µm,0.4-0.6 µm,rod,1,0.4,TRUE,0.4,0.4,1.5707963267948966
Mucilaginibacter,01-03 µm,0.3-0.5 µm,rod,1,0.3,TRUE,0.3,0.3,1.5707963267948966
Mucilaginibacter,2 µm,0.6 µm,rod,2,0.6,TRUE,0.6,1.2,6.283185307179586
Mucilaginibacter,0.8-1.2 µm,0.2-0.4 µm,rod,0.8,0.2,TRUE,0.2,0.16000000000000003,1.0053096491487339
Mucilaginibacter,1.1-1.5 µm,0.3-1.1 µm,rod,1.1,0.3,TRUE,0.3,0.33,1.9006635554218252
Mucilaginibacter,1.1-1.3 µm,0.3-0.4 µm,rod,1.1,0.3,TRUE,0.3,0.33,1.9006635554218252
Mucilaginibacter,1.25-2.3 µm,0.65-0.75 µm,rod,1.25,0.65,TRUE,0.65,0.8125,2.454369260617026
Mucilaginibacter,2.15 µm,0.65 µm,rod,2.15,0.65,TRUE,0.65,1.3975,7.2610060206094085
Mucilaginibacter,20.75 µm,0.45 µm,rod,20.75,0.45,TRUE,0.45,9.3375,676.3259934556277
Rhizobium,1.58 µm,0.5 µm,rod,1.58,0.5,TRUE,0.5,0.79,3.9213359502107803
Rhizobium,3.5 µm,0.9 µm,rod,3.5,0.9,TRUE,0.9,3.15,19.24225500323748
Rhizobium,2.4 µm,1 µm,rod,2.4,1,TRUE,1,2.4,9.047786842338605
Rhizobium,2 µm,0.55 µm,rod,2,0.55,TRUE,0.55,1.1,6.283185307179586
Rhizobium,01-03 µm,0.3-0.5 µm,rod,1,0.3,TRUE,0.3,0.3,1.5707963267948966
Rhizobium,2-2.5 µm,0.5-0.7 µm,rod,2,0.5,TRUE,0.5,1,6.283185307179586
Rhizobium,1.2 µm,0.65 µm,rod,1.2,0.65,TRUE,0.65,0.78,2.261946710584651
Rhodospirillum,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
Sphingomonas,1.8 µm,0.55 µm,rod,1.8,0.55,TRUE,0.55,0.9900000000000001,5.089380098815465
Sphingomonas,1.4 µm,0.45 µm,spiral,1.4,0.45,TRUE,0.45,0.63,3.0787608005179967
Sphingomonas,2.25 µm,0.45 µm,rod,2.25,0.45,TRUE,0.45,1.0125,7.9521564043991635
Sphingomonas,1.5 µm,0.6 µm,rod,1.5,0.6,TRUE,0.6,0.8999999999999999,3.5342917352885173
Sphingomonas,1.5 µm,0.55 µm,rod,1.5,0.55,TRUE,0.55,0.8250000000000001,3.5342917352885173
Sphingomonas,1.3 µm,0.5 µm,rod,1.3,0.5,TRUE,0.5,0.65,2.6546457922833753
Sphingomonas,1.5 µm,0.55 µm,rod,1.5,0.55,TRUE,0.55,0.8250000000000001,3.5342917352885173
Sphingomonas,1.4 µm,0.4 µm,rod,1.4,0.4,TRUE,0.4,0.5599999999999999,3.0787608005179967
Sphingomonas,1.2 µm,0.7 µm,rod,1.2,0.7,TRUE,0.7,0.84,2.261946710584651
Sphingomonas,2.35 µm,0.25 µm,rod,2.35,0.25,TRUE,0.25,0.5875,8.674722714724817
Sphingomonas,0.8 µm,0.5 µm,rod,0.8,0.5,TRUE,0.5,0.4,1.0053096491487339
Sphingomonas,2 µm,0.35 µm,rod,2,0.35,TRUE,0.35,0.7,6.283185307179586
Sphingomonas,1.65 µm,0.7 µm,rod,1.65,0.7,TRUE,0.7,1.1549999999999998,4.276492999699105
Sphingomonas,1.75 µm,0.75 µm,rod,1.75,0.75,TRUE,0.75,1.3125,4.81056375080937
Sphingomonas,1.2 µm,0.5 µm,rod,1.2,0.5,TRUE,0.5,0.6,2.261946710584651
Sphingomonas,1.2 µm,0.7 µm,rod,1.2,0.7,TRUE,0.7,0.84,2.261946710584651
Sphingomonas,0.85 µm,0.45 µm,rod,0.85,0.45,TRUE,0.45,0.3825,1.1349003461093126
Sphingomonas,0.8-1.5 µm,0.4-0.6 µm,rod,0.8,0.4,TRUE,0.4,0.32000000000000006,1.0053096491487339
Sphingomonas,1.7 µm,0.75 µm,rod,1.7,0.75,TRUE,0.75,1.275,4.53960138443725
Sphingomonas,1.0-1.5 µm,0.4-0.6 µm,rod,1,0.4,TRUE,0.4,0.4,1.5707963267948966
Sphingomonas,01-03 µm,0.5-1 µm,rod,1,0.5,TRUE,0.5,0.5,1.5707963267948966
Sphingomonas,0.9 µm,0.55 µm,rod,0.9,0.55,TRUE,0.55,0.49500000000000005,1.2723450247038663
Sphingomonas,2.25 µm,0.45 µm,rod,2.25,0.45,TRUE,0.45,1.0125,7.9521564043991635
Sphingomonas,1.6 µm,0.6 µm,rod,1.6,0.6,TRUE,0.6,0.96,4.0212385965949355
Sphingomonas,1.7 µm,0.7 µm,rod,1.7,0.7,TRUE,0.7,1.19,4.53960138443725
Sphingomonas,1.25 µm,0.5 µm,rod,1.25,0.5,TRUE,0.5,0.625,2.454369260617026
Sphingomonas,0.5 µm,0.25 µm,rod,0.5,0.25,TRUE,0.25,0.125,0.39269908169872414
Sphingomonas,2.5 µm,0.5 µm,rod,2.5,0.5,TRUE,0.5,1.25,9.817477042468104
Vibrionimonas,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
Wandonia,NA,NA,NA,NA,NA,TRUE,NA,NA,NA
